time_ms,depth_m,pa
4594,0.551,101312.7
5410,0.826,104014.0
5818,0.964,105364.7
6430,1.171,107390.7
7042,1.377,109416.7
7450,1.515,110767.3
8062,1.722,112793.3
8674,1.928,114819.3
10306,2.548,120897.3
10714,2.686,122248.0
11326,2.892,124274.0
11938,3.099,126300.0
12958,3.443,129676.7
13570,3.650,131702.7
13978,3.788,133053.3
14590,3.994,135079.3
15202,4.201,137105.3
15610,4.338,138456.0
16222,4.545,140482.0
16834,4.752,142508.0
17242,4.889,143858.7
18466,5.303,147910.7
19486,5.716,151962.7
20098,5.922,153988.7
21118,6.267,157365.3
21730,6.473,159391.3
22138,6.611,160742.0
23362,7.024,164794.0
23770,7.162,166144.7
24382,7.369,168170.7
24994,7.575,170196.7
25402,7.713,171547.3
26014,7.919,173573.3
26626,8.126,175599.3
27034,8.264,176950.0
28054,8.608,180326.7
28666,8.815,182352.7
29278,9.021,184378.7
29890,9.297,187080.0
30298,9.434,188430.7
31930,9.985,193833.3
32542,10.192,195859.3
33154,10.399,197885.3
33562,10.536,199236.0
34378,10.812,201937.3
34786,10.950,203288.0
35602,11.225,205989.3
36010,11.363,207340.0
36622,11.569,209366.0
37846,11.982,213418.0
38458,12.189,215444.0
39682,12.602,219496.0
40294,12.878,222197.3
40906,13.084,224223.3
41314,13.222,225574.0
42130,13.498,228275.3
42538,13.635,229626.0
43150,13.842,231652.0
44374,14.255,235704.0
45598,14.668,239756.0
46210,14.875,241782.0
46618,15.013,243132.7
47434,15.288,245834.0
47842,15.426,247184.7
48658,15.701,249886.0
49066,15.839,251236.7
49882,16.114,253938.0
50290,16.321,255964.0
50902,16.528,257990.0
51514,16.734,260016.0
52126,16.941,262042.0
52738,17.147,264068.0
53146,17.285,265418.7
53962,17.561,268120.0
54370,17.698,269470.7
55186,17.974,272172.0
56410,18.387,276224.0
56818,18.525,277574.7
57430,18.731,279600.7
58042,18.938,281626.7
58654,19.144,283652.7
60490,19.833,290406.0
60898,19.971,291756.7
61714,20.246,294458.0
62942,20.659,298510.0
64190,21.073,302562.0
65414,21.486,306614.0
66434,21.830,309990.7
67046,22.037,312016.7
67658,22.243,314042.7
68270,22.450,316068.7
68882,22.657,318094.7
69494,22.932,320796.0
69902,23.070,322146.7
70718,23.345,324848.0
71126,23.483,326198.7
71942,23.758,328900.0
72350,23.896,330250.7
74186,24.516,336328.7
75410,24.929,340380.7
76022,25.136,342406.7
77246,25.549,346458.7
78470,25.962,350510.7
79490,26.375,354562.7
80102,26.582,356588.7
81938,27.202,362666.7
82550,27.408,364692.7
82958,27.546,366043.3
83774,27.821,368744.7
84182,27.959,370095.3
84998,28.235,372796.7
89078,29.612,386303.3
89486,29.818,388329.3
90302,30.094,391030.7
90710,30.232,392381.3
91526,30.507,395082.7
91934,30.645,396433.3
93158,31.058,400485.3
93770,31.265,402511.3
94382,31.471,404537.3
94994,31.678,406563.3
96218,32.091,410615.3
96830,32.298,412641.3
98054,32.711,416693.3
99074,33.055,420070.0
100910,33.744,426823.3
102134,34.157,430875.3
102746,34.364,432901.3
103358,34.570,434927.3
104582,34.983,438979.3
105806,35.397,443031.3
106214,35.534,444382.0
107438,35.947,448434.0
109274,36.567,454512.0
109886,36.843,457213.3
110294,36.980,458564.0
111110,37.256,461265.3
111518,37.394,462616.0
112334,37.669,465317.3
112742,37.807,466668.0
113354,38.013,468694.0
114578,38.427,472746.0
115190,38.633,474772.0
116414,39.046,478824.0
116822,39.184,480174.7
117638,39.460,482876.0
118046,39.597,484226.7
118862,39.873,486928.0
119270,40.010,488278.7
119882,40.217,490304.7
120494,40.493,493006.0
121718,40.906,497058.0
122330,41.112,499084.0
122942,41.319,501110.0
123350,41.457,502460.7
124803,41.939,507188.0
125415,42.145,509214.0
125823,42.283,510564.7
126639,42.558,513266.0
127047,42.696,514616.7
127863,42.972,517318.0
128271,43.109,518668.7
130107,43.798,525422.0
130719,44.005,527448.0
131943,44.418,531500.0
132351,44.556,532850.6
133167,44.831,535552.0
133575,44.969,536902.7
134391,45.244,539604.0
134799,45.382,540954.6
135411,45.589,542980.6
136023,45.795,545006.6
136635,46.002,547032.6
137247,46.208,549058.6
138471,46.621,553110.7
139695,47.104,557838.0
140103,47.241,559188.6
140919,47.517,561890.0
141327,47.654,563240.6
142143,47.930,565942.0
143163,48.274,569318.7
143775,48.481,571344.6
144387,48.687,573370.6
144999,48.894,575396.6
145407,49.032,576747.3
146223,49.307,579448.6
146631,49.445,580799.4
147447,49.720,583500.7
147855,49.858,584851.4
148671,50.134,587552.6
149079,50.271,588903.4
150303,50.753,593630.6
150915,50.960,595656.7
152139,51.373,599708.7
152751,51.580,601734.6
153163,51.650,602424.1
153775,51.654,602466.6
154183,51.657,602494.9
154591,51.660,602523.1
154999,51.663,602551.4
155407,51.666,602579.8
155815,51.669,602608.0
156223,51.672,602636.3
156631,51.675,602664.6
157039,51.677,602692.8
157447,51.680,602721.1
157855,51.683,602749.4
158263,51.686,602777.6
158671,51.689,602805.9
159079,51.692,602834.2
159487,51.696,602876.6
159895,51.699,602904.9
160303,51.702,602933.1
160915,51.706,602975.5
161527,51.711,603017.9
161731,51.712,603032.0
162139,51.715,603060.1
162547,51.718,603088.4
162955,51.721,603116.6
163363,51.724,603144.9
163771,51.726,603173.1
164179,51.729,603201.2
164587,51.732,603229.5
164995,51.735,603257.6
165403,51.738,603285.9
165811,51.741,603314.0
166219,51.744,603342.2
166627,51.747,603370.4
167035,51.749,603398.5
167443,51.752,603426.6
168055,51.757,603468.9
168463,51.759,603497.0
168871,51.762,603525.1
169279,51.765,603553.2
169687,51.769,603595.4
170095,51.772,603623.4
170503,51.775,603651.6
170707,51.777,603665.6
171115,51.780,603693.6
171523,51.782,603721.7
171931,51.785,603749.8
172339,51.788,603777.8
172747,51.791,603805.8
173155,51.794,603833.8
173563,51.797,603861.8
173971,51.800,603889.9
174379,51.802,603917.8
174787,51.805,603945.8
175195,51.808,603973.8
175603,51.811,604001.6
176011,51.814,604029.6
176419,51.817,604057.5
176827,51.819,604085.4
177235,51.822,604113.3
177643,51.825,604141.2
178051,51.828,604169.0
178459,51.831,604196.9
178867,51.834,604224.8
179275,51.837,604252.5
179683,51.839,604280.4
180091,51.844,604322.0
180499,51.846,604349.8
180907,51.849,604377.6
181315,51.852,604405.4
181723,51.855,604433.1
182131,51.858,604460.8
182539,51.861,604488.4
182947,51.863,604516.1
183355,51.866,604543.8
184375,51.873,604612.9
184783,51.876,604640.5
185191,51.879,604668.1
185599,51.882,604695.6
186007,51.885,604723.2
186415,51.887,604750.8
187231,51.893,604805.8
187435,51.894,604819.5
187843,51.897,604846.9
188251,51.900,604874.4
188659,51.903,604901.8
189067,51.906,604929.2
189475,51.908,604956.6
189883,51.911,604984.0
190291,51.915,605025.0
190699,51.918,605052.3
191107,51.921,605079.6
191515,51.924,605106.9
191923,51.926,605134.1
192331,51.929,605161.4
192739,51.932,605188.6
193147,51.935,605215.8
193555,51.938,605242.9
193963,51.940,605270.1
194371,51.943,605297.2
194779,51.946,605324.4
195187,51.949,605351.4
195595,51.951,605378.5
196207,51.955,605419.0
196411,51.957,605432.5
196819,51.960,605459.5
197227,51.962,605486.5
197635,51.965,605513.4
198043,51.968,605540.3
198451,51.971,605567.2
198859,51.973,605594.1
199267,51.976,605620.9
199675,51.979,605647.8
200083,51.982,605674.5
200491,51.986,605714.7
200899,51.988,605741.4
201307,51.991,605768.1
201715,51.994,605794.8
202123,51.996,605821.4
202531,51.999,605848.1
202939,52.002,605874.6
203347,52.005,605901.2
203755,52.007,605927.8
204163,52.010,605954.2
204571,52.013,605980.8
204979,52.015,606007.2
205387,52.018,606033.7
205795,52.021,606060.1
206203,52.024,606086.4
206611,52.026,606112.8
207019,52.029,606139.1
207427,52.032,606165.4
207835,52.034,606191.6
208243,52.037,606217.9
208651,52.040,606244.1
209059,52.042,606270.2
209467,52.045,606296.4
209875,52.048,606322.5
210283,52.050,606348.6
210691,52.054,606387.6
211099,52.057,606413.6
211507,52.060,606439.6
211915,52.062,606465.5
212323,52.065,606491.4
212731,52.067,606517.3
213139,52.070,606543.1
213547,52.073,606568.9
213955,52.075,606594.8
214363,52.078,606620.5
214771,52.081,606646.2
215179,52.083,606671.9
215587,52.086,606697.6
215995,52.088,606723.1
216403,52.091,606748.8
216811,52.094,606774.2
217219,52.096,606799.8
217627,52.099,606825.2
218035,52.101,606850.6
218443,52.104,606876.1
218851,52.107,606901.5
219259,52.109,606926.8
219667,52.112,606952.1
220075,52.114,606977.4
220483,52.117,607002.6
220891,52.121,607040.4
221095,52.122,607053.0
221503,52.125,607078.1
221911,52.127,607103.2
222319,52.130,607128.2
222727,52.132,607153.2
223135,52.135,607178.2
223543,52.137,607203.1
223951,52.140,607228.0
224359,52.142,607252.9
224767,52.145,607277.8
225175,52.148,607302.6
226195,52.154,607364.4
226603,52.156,607389.0
227011,52.159,607413.6
227419,52.161,607438.2
227827,52.164,607462.8
228235,52.166,607487.2
228643,52.169,607511.8
229051,52.171,607536.1
229459,52.174,607560.5
229867,52.176,607584.8
230275,52.179,607609.1
230887,52.184,607657.6
231295,52.186,607681.8
231703,52.189,607705.9
232111,52.191,607730.0
232519,52.194,607754.1
232927,52.196,607778.1
233335,52.198,607802.1
233743,52.201,607826.0
234151,52.203,607849.9
234559,52.206,607873.7
234967,52.208,607897.5
235375,52.211,607921.2
235783,52.213,607945.0
236191,52.215,607968.6
236599,52.218,607992.2
237007,52.220,608015.9
237415,52.223,608039.4
237823,52.225,608062.9
238231,52.227,608086.4
238639,52.230,608109.8
239047,52.232,608133.1
239455,52.235,608156.4
239863,52.237,608179.7
240271,52.239,608202.9
240679,52.242,608226.1
241087,52.245,608260.9
241495,52.248,608283.9
241903,52.250,608306.9
242311,52.252,608329.9
242719,52.255,608352.8
243127,52.257,608375.7
243535,52.259,608398.6
244147,52.263,608432.8
244555,52.265,608455.4
244963,52.267,608478.1
245371,52.270,608500.8
245779,52.272,608523.3
246187,52.274,608545.8
246595,52.277,608568.4
246799,52.278,608579.6
247207,52.280,608602.0
247615,52.282,608624.3
248023,52.285,608646.6
248431,52.287,608668.9
248839,52.289,608691.1
249247,52.291,608713.3
249655,52.294,608735.4
250063,52.296,608757.5
250471,52.298,608779.5
250879,52.300,608801.5
251287,52.304,608834.4
251695,52.306,608856.2
252103,52.308,608878.0
252511,52.310,608899.8
252919,52.313,608921.4
253327,52.315,608943.1
253735,52.317,608964.7
254143,52.319,608986.2
254551,52.321,609007.8
254959,52.324,609029.1
255367,52.326,609050.5
255775,52.328,609071.9
256183,52.330,609093.1
256591,52.332,609114.4
256999,52.334,609135.6
257407,52.337,609156.7
257815,52.339,609177.8
258223,52.341,609198.8
258631,52.343,609219.8
259039,52.345,609240.7
259447,52.347,609261.6
259855,52.349,609282.4
260263,52.352,609303.1
260671,52.354,609323.8
261079,52.356,609344.5
261487,52.359,609375.3
261895,52.361,609395.9
262303,52.363,609416.3
262711,52.365,609436.8
263119,52.367,609457.1
263527,52.369,609477.4
263935,52.371,609497.6
264343,52.373,609517.8
264751,52.375,609537.9
265159,52.378,609558.0
265567,52.380,609578.0
265975,52.382,609597.9
266383,52.384,609617.9
266791,52.386,609637.8
267199,52.388,609657.5
267607,52.390,609677.2
268015,52.392,609696.9
268423,52.394,609716.5
268831,52.396,609736.1
269239,52.398,609755.6
269647,52.400,609775.0
270055,52.402,609794.5
270463,52.404,609813.8
270871,52.406,609833.1
271279,52.408,609852.2
271483,52.408,609861.9
271891,52.411,609890.5
272299,52.413,609909.6
272707,52.415,609928.6
273115,52.417,609947.5
273523,52.419,609966.4
273931,52.421,609985.2
274339,52.423,610003.9
274747,52.425,610022.6
275155,52.427,610041.2
275563,52.429,610059.9
275971,52.431,610078.4
276379,52.432,610096.8
276787,52.434,610115.2
277195,52.436,610133.6
277603,52.438,610151.8
278011,52.440,610170.0
278419,52.442,610188.2
278827,52.444,610206.2
279235,52.445,610224.3
279643,52.447,610242.2
280051,52.449,610260.2
280459,52.451,610278.1
281071,52.454,610304.7
281275,52.455,610313.6
281683,52.456,610331.2
282091,52.459,610357.6
282499,52.461,610375.1
282907,52.463,610392.5
283315,52.464,610409.9
283723,52.466,610427.2
284131,52.468,610444.5
284539,52.470,610461.8
284947,52.471,610478.9
285355,52.473,610495.9
285763,52.475,610512.9
286171,52.477,610529.9
286579,52.478,610546.8
286987,52.480,610563.6
287395,52.482,610580.3
287803,52.483,610597.0
288211,52.485,610613.6
288619,52.487,610630.2
289027,52.489,610646.8
289435,52.490,610663.1
289843,52.492,610679.5
290251,52.494,610695.8
290659,52.495,610712.1
291067,52.497,610728.2
291475,52.498,610744.4
291883,52.500,610760.4
292291,52.503,610784.4
292699,52.504,610800.2
293107,52.506,610816.0
293515,52.507,610831.8
293923,52.509,610847.5
294331,52.511,610863.1
294739,52.512,610878.6
295147,52.514,610894.1
295555,52.515,610909.6
295963,52.517,610925.0
296167,52.518,610932.6
296575,52.519,610947.9
296983,52.521,610963.1
297391,52.522,610978.1
297799,52.524,610993.2
298207,52.525,611008.2
298615,52.527,611023.1
299023,52.528,611038.0
299431,52.530,611052.8
299839,52.531,611067.5
300247,52.533,611082.2
300655,52.534,611096.8
301063,52.536,611111.2
301471,52.537,611125.8
301879,52.539,611140.1
302287,52.541,611161.5
302695,52.542,611175.8
303103,52.544,611189.9
303511,52.545,611204.0
303919,52.547,611218.0
304327,52.548,611231.9
304735,52.550,611245.8
305347,52.552,611266.5
305755,52.553,611280.2
306163,52.555,611293.8
306571,52.556,611307.4
306979,52.557,611320.9
307387,52.559,611334.2
307795,52.560,611347.6
308203,52.561,611360.9
308611,52.563,611374.1
309019,52.564,611387.2
309427,52.565,611400.3
309835,52.567,611413.3
310243,52.568,611426.2
310651,52.569,611439.1
311059,52.571,611451.9
311467,52.572,611464.6
311875,52.573,611477.2
312079,52.574,611483.6
312487,52.576,611502.4
312895,52.577,611514.8
313303,52.578,611527.1
313711,52.580,611539.4
314119,52.581,611551.6
314527,52.582,611563.9
314935,52.583,611575.9
315343,52.585,611587.9
315751,52.586,611599.8
316159,52.587,611611.8
316567,52.588,611623.5
316975,52.589,611635.2
317383,52.591,611646.9
317791,52.592,611658.4
318199,52.593,611670.0
318607,52.594,611681.4
319015,52.595,611692.8
319423,52.596,611704.0
319831,52.597,611715.2
320239,52.599,611726.4
320647,52.600,611737.5
321055,52.601,611748.5
321463,52.602,611759.4
321871,52.603,611770.2
322279,52.604,611781.0
322687,52.606,611797.1
323095,52.607,611807.6
323503,52.608,611818.2
323911,52.609,611828.6
324319,52.610,611839.0
324727,52.611,611849.3
325135,52.612,611859.6
325543,52.613,611869.8
326767,52.616,611899.8
326971,52.617,611904.7
327379,52.618,611914.5
327787,52.619,611924.2
328195,52.620,611933.9
328603,52.621,611943.5
329011,52.622,611953.0
329419,52.623,611962.5
329827,52.624,611971.9
330235,52.625,611981.2
330643,52.626,611990.4
331051,52.626,611999.5
331459,52.627,612008.6
331867,52.628,612017.6
332275,52.629,612026.6
332683,52.630,612035.4
333091,52.631,612048.6
333499,52.632,612057.2
333907,52.633,612065.9
334315,52.634,612074.4
334723,52.635,612082.8
335131,52.636,612091.1
335539,52.637,612099.5
335947,52.638,612107.7
336355,52.638,612115.8
336763,52.639,612123.9
337171,52.640,612131.8
337579,52.641,612139.8
337987,52.642,612147.6
338395,52.642,612155.3
338803,52.643,612163.0
339211,52.644,612170.6
339619,52.645,612178.1
340027,52.645,612185.6
340435,52.646,612193.0
340843,52.647,612200.2
341251,52.648,612207.5
341659,52.648,612214.6
341863,52.649,612218.2
342271,52.650,612225.2
342679,52.650,612232.2
343291,52.652,612245.9
343699,52.652,612252.6
344107,52.653,612259.2
344515,52.654,612265.9
344923,52.654,612272.3
345331,52.655,612278.8
345739,52.656,612285.1
346147,52.656,612291.4
346555,52.657,612297.6
346963,52.657,612303.6
347371,52.658,612309.7
347779,52.659,612315.7
348187,52.659,612321.5
348595,52.660,612327.4
349003,52.660,612333.1
349411,52.661,612338.8
349819,52.662,612344.3
350227,52.662,612349.8
350635,52.663,612355.2
351043,52.663,612360.5
351451,52.664,612365.9
351655,52.664,612368.4
352063,52.665,612373.6
352471,52.665,612378.6
352879,52.666,612383.6
353287,52.666,612391.0
353695,52.667,612395.8
354103,52.667,612400.5
354511,52.668,612405.1
354919,52.668,612409.7
355327,52.669,612414.1
355735,52.669,612418.6
356143,52.670,612422.9
356551,52.670,612427.1
356959,52.671,612431.3
357367,52.671,612435.4
357775,52.671,612439.5
358183,52.672,612443.4
358591,52.672,612447.2
358999,52.673,612451.0
359407,52.673,612454.8
359815,52.673,612458.4
360223,52.674,612461.9
360631,52.674,612465.4
361039,52.674,612468.8
361447,52.675,612472.1
361855,52.675,612475.2
362263,52.675,612478.5
362671,52.676,612481.5
363079,52.676,612484.5
363487,52.676,612488.9
363895,52.677,612491.6
364303,52.677,612494.4
364711,52.677,612497.0
365119,52.677,612499.6
365527,52.678,612502.1
365935,52.678,612504.5
366343,52.678,612506.8
366751,52.678,612509.1
367159,52.679,612511.2
367567,52.679,612513.3
367975,52.679,612515.2
368383,52.679,612517.2
368791,52.679,612519.1
369199,52.680,612520.9
369607,52.680,612522.6
370015,52.680,612524.2
370423,52.680,612525.8
370831,52.680,612527.2
371239,52.680,612528.6
371647,52.681,612529.9
372055,52.681,612531.1
372463,52.681,612532.2
372667,52.681,612532.8
373075,52.681,612533.9
373483,52.681,612534.8
373891,52.681,612536.1
374299,52.681,612536.8
374707,52.681,612537.5
375115,52.681,612538.1
375523,52.681,612538.6
375931,52.681,612539.0
376339,52.682,612539.4
376747,52.682,612539.6
377155,52.682,612539.9
377563,52.682,612540.0
377971,52.682,612540.0
378379,52.682,612540.0
378787,52.682,612539.9
379195,52.682,612539.6
379603,52.682,612539.4
380011,52.681,612539.0
380419,52.681,612538.6
380827,52.681,612538.1
381235,52.681,612537.5
381643,52.681,612536.8
382051,52.681,612536.1
382459,52.681,612535.2
382867,52.681,612534.3
383275,52.681,612533.4
383683,52.681,612532.2
384091,52.681,612530.5
384499,52.680,612529.2
384907,52.680,612527.9
385315,52.680,612526.5
